Symbol,Name,"2Y %Chg",Last,Change,%Chg,"2Y Chg","2Y High","2Y Low","Average Volume2y",Time
FRHC,"Freedom Holding Corp",+240.06%,24.28,0.57,+2.40%,17.14,24.41,7.1,09/16/20
FSLY,"Fastly Inc",+243.98%,82.52,-1.56,-1.86%,58.53,117.79,10.63,09/16/20
RDVT,"Red Violet Inc",+244.67%,19.06,0.18,+0.95%,13.53,28.7,5.19,09/16/20
HMY,"Harmony Gold Mining Co. Ltd",+245.20%,6.11,-0.25,-3.93%,4.34,7.61,1.47,09/16/20
NKLA,"Nikola Corp.",+246.67%,33.28,0.45,+1.37%,23.68,93.99,9.51,09/16/20
ATXI,"Avenue Therapeutics Inc",+246.97%,11.45,-0.51,-4.26%,8.15,12.34,2.08,09/16/20
IDN,"Intellicheck Mobilisia",+247.00%,6.94,0.26,+3.89%,4.94,10.54,1.91,09/16/20
MCRB,"Seres Theraptc",+249.94%,27.33,0.01,+0.04%,19.52,33,2.02,09/16/20
INS,"Intelligent Systems Corp",+250.70%,37.7,-0.19,-0.50%,26.95,56.24,9.35,09/16/20
OBCI,"Ocean Bio Chem Inc",+251.66%,14.84,1.09,+7.93%,10.62,22.55,2.9,09/16/20
CLCT,"Collectors Universe",+252.68%,53.36,2.57,+5.06%,38.23,53.67,10.01,09/16/20
SITM,"Sitime Corp",+253.94%,66.01,-0.49,-0.74%,47.36,81.6,15.42,09/16/20
ICAD,"Icad Inc",+255.82%,10.39,0.7,+7.22%,7.47,15.31,2.42,09/16/20
CVM,"Cel-Sci Corp",+255.99%,12.78,-0.020000000000001,-0.16%,9.19,18,2.37,09/16/20
SAFE,"Safehold Inc",+256.36%,63.29,1.73,+2.81%,45.53,67.18,16.35,09/16/20
CXDO,"Crexendo Inc",+256.83%,8.1,-0.22,-2.64%,5.83,12.78,1.5,09/16/20
HGBL,"Heritage Global Inc",+260.00%,2.52,-0.05,-1.95%,1.82,4.2,0.36,09/16/20
PRVB,"Provention Bio Inc",+263.85%,14.19,0.22,+1.57%,10.29,22.82,1.52,09/16/20
AU,"Anglogold Ashanti Ltd",+265.80%,29.41,-0.47,-1.57%,21.37,38.5,7.97,09/16/20
MRNA,"Moderna Inc",+266.17%,68.84,1.96,+2.93%,50.04,95.21,11.54,09/16/20
DOCU,"Docusign Inc",+266.26%,197.01,-5.01,-2.48%,143.22,290.23,35.06,09/16/20
INO,"Inovio Pharma",+266.73%,18.52,4.89,+35.88%,13.47,33.79,1.91,09/16/20
BCLI,"Brainstorm Cell",+266.75%,14.45,0.3,+2.12%,10.51,17.2,2.92,09/16/20
MTA,"Metalla Royalty and Streaming Ltd",+270.19%,8.35,-0.11,-1.30%,6.09,10.11,2.1,09/16/20
