Symbol,Name,"3Y %Chg",Last,Change,%Chg,"3Y Chg","3Y High","3Y Low","Avg Vol",Time
VRS,"Verso Corp",+190.32%,14.41,0.0099999999999998,+0.07%,9.44,34.6,4.83,349460,09/16/20
MDGL,"Madrigal Pharmaceuticals Inc",+212.81%,108.51,1.59,+1.49%,72.74,325.98,32.17,122545,09/16/20
CERC,"Cerecor Inc",+247.77%,2.66,-0.07,-2.38%,1.94,7.65,0.77,356925,09/16/20
VKTX,"Viking Thera",+349.64%,6.52,0.27,+4.32%,4.86,24,1.29,1402010,09/16/20
NEPT,"Neptune Wellness Solutions Inc",+193.90%,2.55,0.14,+5.81%,1.59,6.57,0.8,652600,09/16/20
MED,"Medifast Inc",+212.81%,176.36,0.090000000000003,+0.05%,119.92,260.98,49.03,219850,09/16/20
XENE,"Xenon Pharmaceuticals Inc",+279.31%,11.17,0.17,+1.55%,8.1,18.45,2.1,104520,09/16/20
SHSP,"Sharpspring Inc",+200.29%,10.51,0,0.00%,7.01,21.1,3.25,141150,09/16/20
HEAR,"Turtle Beach Corp",+415.23%,17.53,-0.4,-2.23%,14.45,34.5,1.64,591320,09/16/20
SRPT,"Sarepta Therapeutics",+216.14%,143.95,1.15,+0.81%,97.63,176.5,42.97,854465,09/16/20
BOOT,"Boot Barn Holdings Inc",+235.48%,29.68,0.56,+1.92%,20.44,48.11,7.37,744535,09/16/20
RCKT,"Rocket Pharmaceuticals Inc",+291.45%,24.66,0.39,+1.61%,18.07,29.14,6.12,231140,09/16/20
LFVN,"Lifevantage Cp",+218.41%,13.06,-0.6,-4.39%,9.37,17.25,3.2,86060,09/16/20
QURE,"Uniqure N.V.",+303.65%,42.25,3.58,+9.26%,29.09,82.49,8.66,424255,09/16/20
FIVE,"Five Below Inc",+163.41%,134.07,1.39,+1.05%,82.31,148.21,47.53,1134545,09/16/20
VFF,"Village Farms Intl",+173.35%,5.74,0,0.00%,4.08,18.1,2.07,1406815,09/16/20
STAA,"Staar Surgical Company",+384.95%,53.41,0.55,+1.04%,41.96,62.51,11.5,562290,09/16/20
DRNA,"Dicerna Pharmaceutic",+293.23%,19.26,1.25,+6.94%,13.43,27.68,4.44,631310,09/16/20
LIQT,"Liqtech International Inc",+386.49%,7.51,0.31,+4.31%,5.72,10.69,1.04,55240,09/16/20
AAXN,"Axon Inc",+272.63%,83.73,-0.67,-0.79%,61.75,104.9,20.57,631705,09/16/20
RETA,"Reata Pharma",+219.09%,105.21,3.9,+3.85%,69.56,257.96,19.31,260385,09/16/20
MOH,"Molina Healthcare Inc",+178.31%,184.17,2.38,+1.31%,116.47,198.38,58.66,300775,09/16/20
NEPH,"Nephros Inc",+231.92%,6.9,-0.15,-2.13%,4.93,11.35,2.12,10130,09/16/20
KOR,"Corvus Gold Inc",+351.14%,3,0.05,+1.69%,2.3,3.29,0.61,61425,09/16/20
EDUC,"Educational Dev Cp",+186.73%,14.53,-0.38,-2.55%,9.71,19.76,3.02,39835,09/16/20
PAYS,"Paysign Inc","+1,100.00%",5.95,0.25,+4.39%,5.22,18.67,0.43,505860,09/16/20
FTNT,"Fortinet Inc",+208.29%,116.93,-1.27,-1.07%,79.86,151.95,35.44,1304740,09/16/20
CDNA,"Caredx Inc",+995.78%,34.19,0.44,+1.30%,30.67,41.27,3.15,378020,09/16/20
NFLX,"Netflix Inc",+164.74%,483.86,-12.13,-2.45%,308.64,575.37,176.55,6754915,09/16/20
ZEN,"Zendesk Inc",+248.97%,96.52,-1.4,-1.43%,69.86,107.79,27.09,1514330,09/16/20
ADUS,"Addus Homecare Corp",+179.74%,96.14,0.89,+0.93%,61.2,106.98,30.95,109955,09/16/20
BLFS,"Biolife Solutions",+413.54%,25.8,-1.88,-6.79%,22.29,28.28,4.63,298070,09/16/20
FCN,"Fti Consulting",+203.24%,106.67,-0.039999999999992,-0.04%,71.52,144.1,35.09,339270,09/16/20
SMTX,"Smtc Corp",+196.92%,3.83,-0.03,-0.78%,2.56,5.98,1.29,78395,09/16/20
IRDM,"Iridium Comm Inc",+187.04%,28.69,0.13,+0.46%,18.61,32.08,9.8,583830,09/16/20
VRNS,"Varonis Systems Inc",+169.04%,112.9,0.44,+0.39%,70.66,127.37,40.75,295070,09/16/20
SPLK,"Splunk Inc",+166.58%,182.55,-2.8,-1.51%,115.82,225.89,62.39,1925580,09/16/20
VCEL,"Vericel Corproation",+266.06%,18.95,0.83,+4.58%,13.17,21,3.3,507995,09/16/20
AEYE,"Audioeye Inc",+270.40%,13.41,0.77,+6.09%,9.23,22.8,1.94,207920,09/16/20
SPSC,"Sps Commerce Inc",+172.76%,75.45,-0.91,-1.19%,48.36,83.85,22.51,212770,09/16/20
VICR,"Vicor Cp",+319.50%,82.49,-0.99,-1.19%,63.58,90.88,16.3,201645,09/16/20
CRSP,"Crispr Therapeutics Ag",+347.71%,85.63,0.7,+0.82%,65.96,105.12,16.16,907610,09/16/20
AMZN,"Amazon.com Inc",+230.45%,3078.1,-78.03,-2.47%,2201.03,3552.25,931.75,4837425,09/16/20
EBS,"Emergent Biosolutions",+168.02%,102.34,-0.42,-0.41%,64.42,137.61,36.38,569620,09/16/20
BGNE,"Beigene Ltd Ads",+200.02%,255.13,-0.31,-0.12%,170.3,258.48,77.54,240710,09/16/20
UI,"Ubiquiti Networks",+186.73%,154.45,-0.90000000000001,-0.58%,101.17,199.91,49.4,115145,09/16/20
