,previousClose,regularMarketOpen,twoHundredDayAverage,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,open,beta,regularMarketDayLow,trailingPE,priceToSalesTrailing12Months,dayLow,ask,fiftyTwoWeekHigh,fiftyTwoWeekLow,bid,dayHigh,enterpriseToRevenue,profitMargins,enterpriseToEbitda,52WeekChange,forwardEps,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,shortRatio,earningsQuarterlyGrowth,pegRatio,shortPercentOfFloat,regularMarketPrice,forwardPE,trailingAnnualDividendYield,payoutRatio,trailingAnnualDividendRate,dividendRate,fiveYearAvgDividendYield,dividendYield,Market Cap,Change,Insider Own,Shs Outstand,Perf Week,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,Short Float,Perf Quarter,Sales,EPS this Y,Inst Trans,Perf Half Y,ROA,Perf Year,EPS next 5Y,ROE,Perf YTD,EPS past 5Y,ROI,52W High,Sales past 5Y,Gross Margin,52W Low,Sales Q/Q,Oper. Margin,EPS Q/Q,Profit Margin,Payout,SMA20,SMA50,SMA200,Inst Own,Dividend %,Avg Volume
ACIW,24.66,24.8,26.82826,26.26,24.66,28.994705,24.8,1.309921,24.67,40.354393,2.2642937,24.67,26.75,39.37,20.03,24.14,26.26,3.075,0.05716,16.486,-0.24931502,0.97,9.373,0.0452,1.00244,0.649,0.11441445,2.7941961,0.02783,7.32,1.459,3.6,0.0525,24.8,,,,,,,,2990000000.0,0.062,0.015,116030000000.0,-0.1002,0.7173,-0.0103,113780000000.0,-0.1495,76900000000.0,0.0462,-0.0364,1350000000.0,0.19,-0.01,0.1467,0.024,-0.201,0.12,0.071,-0.30870000000000003,-0.005,0.047,-0.3348,0.044000000000000004,0.509,0.3075,0.008,0.125,1.49,0.057,0.0,-0.1,-0.07150000000000001,-0.1198,,,
ACMR,66.36,67.6,60.28355,72.74,66.36,92.97294,67.6,0.769573,65.555,99.66198,10.532479,65.555,72.99,113.87,12.51,,72.74,9.92,0.11817,59.414,3.5296931,1.64,4.98,0.0614,0.19108999,0.71,0.11441445,14.208836,0.36019,3.29,,3.46,0.0892,67.6,43.146343,,,,,,,1170000000.0,0.0663,0.018000000000000002,18060000000.0,-0.1378,0.7012,-0.2865,11230000000.0,-0.3246,18700000000.0,0.0989,0.2096,111400000000.0,1.69,0.5102,2.3679,0.11,3.8136,0.2,0.22699999999999998,2.8352,,0.165,-0.3786,,0.467,4.6563,0.183,0.14800000000000002,0.536,0.155,0.0,-0.1996,-0.2104,0.40880000000000005,0.377,,
AIV,34.98,35.47,37.557175,37.845,34.98,36.528824,35.47,0.755852,35.45,30.79704,6.171484,35.45,,55.68,24.53,35.24,37.845,11.727,0.20072001,19.759,-0.32169867,-0.11,11.406,0.0147,1.01943,1.217,0.11441445,3.2859898,0.00836,2.13,-0.391,35.19,0.0177,35.47,-340.72726,0.04631218,1.3223,1.62,1.64,3.27,0.0469,5680000000.0,0.07150000000000001,0.0084,148540000000.0,0.0008,-1.786,-0.0023,147620000000.0,0.0348,181200000000.0,0.0148,-0.0424,903200000000.0,-0.27399999999999997,0.0051,0.0555,0.026000000000000002,-0.2618,0.071,0.105,-0.2743,0.08199999999999999,0.025,-0.32689999999999997,-0.015,0.6609999999999999,0.5279,-0.024,0.158,-0.33799999999999997,0.201,1.311,0.0394,0.019799999999999998,-0.11220000000000001,,0.0438,1080000000.0
ALLO,32.38,33.08,34.512825,35.9,32.38,35.97147,33.08,,33.08,,,33.08,35.37,,17.43,35.31,35.9,,,-15.675,0.012191296,-2.53,8.356,0.077199996,0.57578,-2.107,0.11441445,4.230493,0.38799998,17.81,,,0.1294,33.08,-13.972332,,,,,,,5000000000.0,0.0917,0.032,115380000000.0,0.0702,-0.166,-0.2459,68940000000.0,-0.051500000000000004,-227200000000.0,0.1559,-0.1585,,-0.049,0.1931,0.9233,-0.27,0.17679999999999998,,-0.301,0.3607,,,-0.35729999999999995,,,1.0281,,,-0.27899999999999997,,,0.009899999999999999,-0.06849999999999999,0.11109999999999999,0.642,,
AMCX,20.86,21.01,25.49768,22.78,20.86,23.885,21.01,0.882385,20.95,6.4972568,0.40594614,20.95,22.61,51.31,19.62,22.6,22.78,1.27,0.06655,4.347,-0.59345156,6.42,12.527,0.1911,1.11361,3.463,0.11441445,1.7961203,0.04814,13.36,-0.884,-0.3,0.35349998,21.01,3.5046728,,,,,,,1190000000.0,0.0786,0.003,52310000000.0,-0.030600000000000002,0.1286,0.0,38470000000.0,-0.096,192000000000.0,0.2585,-0.2334,2880000000.0,-0.138,0.0174,-0.1981,0.035,-0.5575,-0.122,0.3,-0.4304,0.13,0.139,-0.5702,0.071,0.52,0.14679999999999999,-0.163,0.141,-0.8740000000000001,0.067,0.0,-0.0555,-0.062400000000000004,-0.23629999999999998,,,1010000000.0
AMTI,26.78,27.58,23.423334,34.34,26.78,22.933823,27.58,,27.4501,,,27.4501,31.22,34.34,17.045,,34.34,,,-16.837,0.4894328,,,0.0068,,,0.11441445,,,1.03,,-0.27,0.014099999,27.58,,,,,,,,1100000000.0,0.1617,0.023,32400000000.0,0.2296,0.21100000000000002,0.0,24510000000.0,0.3544,-46400000000.0,0.0096,0.1446,,0.061,,,,,0.387,,0.7303000000000001,,,-0.0229,,,0.8251999999999999,,,-2.076,,,0.3139,0.369,0.3281,0.617,,
APLS,28.66,29.27,30.578876,30.87,28.66,28.615,29.27,1.145083,28.69,,,28.69,30.76,45.04,16.85,30.68,30.87,,,-4.351,0.09347582,-6.43,3.07,0.1363,0.69478995,-6.793,0.11441445,10.039088,0.21841998,16.67,,-1.47,0.20899999,29.27,-4.793157,,,,,,,2390000000.0,0.0754,0.024,75550000000.0,0.0095,0.10099999999999999,-0.0064,59040000000.0,0.0664,-470500000000.0,0.1745,-0.054299999999999994,,-1.089,0.1099,0.5288,-0.779,0.14150000000000001,0.027999999999999997,-2.8310000000000004,0.006500000000000001,,,-0.3157,,,0.8291,,,-0.397,,,0.049800000000000004,0.0405,-0.0382,0.825,,
ARCH,40.72,41.12,32.714928,44.78,40.72,34.497353,41.12,1.10606,41.115,29.467731,0.35802168,41.115,44.99,89.42,21.8,,44.78,0.416,0.0125899995,5.356,-0.5033541,6.56,36.164,0.1317,1.25807,1.503,0.11441445,1.2246985,0.01148,7.94,,,0.1691,41.12,6.7515244,0.034381136,1.2281,1.4,,,,649730000000.0,0.0877,0.0115,15150000000.0,0.09029999999999999,1.984,0.012,14970000000.0,0.34869999999999995,23600000000.0,0.1332,0.3185,1890000000.0,-0.10800000000000001,-0.0516,0.264,0.013000000000000001,-0.45030000000000003,,0.038,-0.3826,0.20199999999999999,0.255,-0.5047,-0.048,0.11599999999999999,1.0317,-0.44,0.016,-1.922,0.012,1.085,0.2157,0.3543,0.034,,,
ARCT,38.6,39.25,37.236668,41.95,38.6,51.065,39.25,3.100927,39.25,,89.348274,39.25,42.34,66.24,8.51,40.5,41.95,73.402,,-20.856,2.5674677,0.43,4.533,0.0631,0.30923998,-2.519,0.11441445,9.095522,0.29925,2.34,,,0.0796,39.25,95.88372,,,,,,,1050000000.0,0.0681,0.22399999999999998,18790000000.0,0.0776,1.2009999999999998,-0.0006,18790000000.0,-0.13849999999999998,-38500000000.0,0.0819,0.07339999999999999,11300000000.0,0.005,1.6265,2.3767,-0.39299999999999996,2.886,,-0.894,2.793,0.337,,-0.3776,,,3.8449,-0.775,,-7.3,,,-0.1548,-0.20190000000000002,0.4079,0.528,,
ARNA,63.37,64.35,56.624565,67.92,63.37,65.31647,64.35,1.265328,64.35,,839.4658,64.35,,70.77,32.95,,67.92,550.887,,-7.019,0.21096873,-8.08,21.583,0.0668,0.84158,-6.824,0.11441445,3.1130984,0.00153,8.17,,0.42,0.0669,64.35,-8.315595,,,,,,,3870000000.0,0.0603,0.001,57650000000.0,0.0327,-0.07200000000000001,-0.8659,57560000000.0,0.0285,-346300000000.0,0.0669,0.0646,4600000000.0,-1.98,0.19329999999999997,0.8493999999999999,-0.28600000000000003,0.3118,,-0.311,0.4793,0.368,0.332,-0.0506,0.852,,1.0392000000000001,,,-0.301,,,0.0063,0.0286,0.2482,0.9390000000000001,,
