,Insider Own,Shs Outstand,Perf Week,Market Cap,Insider Trans,Shs Float,Perf Month,Income,Inst Own,Short Float,Perf Quarter,Sales,EPS this Y,Inst Trans,Perf Half Y,ROA,Perf Year,ROE,Perf YTD,EPS past 5Y,ROI,52W High,Gross Margin,52W Low,Sales Q/Q,Oper. Margin,EPS Q/Q,Profit Margin,Payout,SMA20,SMA50,SMA200,Change,EPS next Y,EPS next 5Y,Avg Volume,Sales past 5Y,Dividend %
FRHC,0.002,58360000000.0,0.061900000000000004,1450000000.0,-0.0701,15820000000.0,0.10210000000000001,40500000000.0,0.022000000000000002,0.0331,0.2983,147100000000.0,2.474,0.6133,0.965,0.063,0.9771,0.28300000000000003,0.7001000000000001,1.209,0.128,0.0127,0.812,1.1973,0.935,0.39399999999999996,1.8940000000000001,0.275,0.0,0.0529,0.1553,0.43810000000000004,0.021099999999999997,,,,,
FSLY,0.02,99840000000.0,0.1017,9570000000.0,-0.5656,82550000000.0,0.0558,-52700000000.0,0.619,0.0987,0.3153,246300000000.0,-1.2109999999999999,0.3418,3.7300999999999997,-0.133,2.1469,-0.16,3.1738999999999997,,-0.16399999999999998,-0.2888,0.575,6.8805,0.617,-0.21600000000000003,0.157,-0.214,,-0.0294,-0.0259,0.8826999999999999,0.0169,2.333,0.3,11680000000.0,,
RDVT,0.095,11620000000.0,0.0123,238900000000.0,0.0,4870000000.0,-0.0559,-9900000000.0,0.25,0.2642,0.0282,33700000000.000004,-0.5379999999999999,0.1365,0.1816,-0.19699999999999998,0.39289999999999997,-0.23,0.0227,,-0.266,-0.3404,0.631,0.6354,-0.013999999999999999,-0.292,0.41700000000000004,-0.293,,-0.0438,0.0533,-0.0015,0.0005,,,,,
HMY,0.151,535000000000.0,-0.0783,3550000000.0,0.0,493690000000.0,-0.06269999999999999,-79900000000.0,0.33799999999999997,0.024,0.6859999999999999,1690000000.0,0.504,-0.0044,1.8653,-0.035,0.7839,-0.055,0.5234000000000001,0.3799,-0.08199999999999999,-0.2733,0.11,2.142,0.5670000000000001,-0.034,0.228,-0.047,,-0.086,-0.10769999999999999,0.3638,-0.0416,,0.0,9440000000.0,0.778,
NKLA,0.013000000000000001,303790000000.0,0.0641,15150000000.0,-0.19079999999999997,115690000000.0,-0.1961,-132199999999.99998,0.135,0.0824,-0.48119999999999996,440000000.0,0.09,1.0829,2.2103,-0.324,2.3750999999999998,-0.34,2.313,,,-0.6362,,2.352,1.7690000000000001,,-4.1160000000000005,,,-0.1101,-0.1492,0.3223,0.0106,0.0,,25190000000.0,,
ATXI,0.016,16480000000.0,-0.0052,187450000000.0,-0.014499999999999999,6610000000.0,-0.022099999999999998,-10800000000.0,0.163,0.022400000000000003,0.057999999999999996,,0.217,0.3549,0.6690999999999999,-1.239,0.8976999999999999,-1.507,0.1979,,,-0.0681,,1.3174000000000001,,,0.732,,,-0.0008,0.06280000000000001,0.1962,0.0305,1.238,,,,
IDN,0.039,16379999999.999998,0.0701,125560000000.0,0.0,15950000000.0,-0.0091,-1200000000.0,0.54,0.0431,-0.0774,9800000000.0,0.36700000000000005,0.1886,0.6318,-0.071,0.3226,-0.084,-0.1242,0.36700000000000005,-0.226,-0.3776,0.848,2.4346,0.125,-0.13699999999999998,0.16399999999999998,-0.122,,0.0264,-0.061500000000000006,-0.0537,-0.013500000000000002,21.0,0.1,,0.03,
MCRB,0.1,73310000000.0,0.0059,2230000000.0,0.0,50710000000.0,0.026000000000000002,-75800000000.0,0.7390000000000001,0.1033,4.3437,28900000000.0,0.489,0.08900000000000001,7.2741999999999996,-0.648,5.6451,1.459,6.4348,-0.21100000000000002,3.033,-0.2227,,9.1786,-0.52,,-0.18600000000000003,,,0.0168,0.6063000000000001,2.6914999999999996,-0.045,-0.361,,2980000000.0,,
INS,0.16899999999999998,8930000000.0,-0.0084,329140000000.0,0.0,6470000000.0,0.009399999999999999,10000000000.0,0.509,0.1461,0.0825,35800000000.0,0.753,-0.0298,0.3046,0.213,-0.23199999999999998,0.268,-0.0864,0.601,0.29100000000000004,-0.2687,0.622,0.5688,0.08,0.34,0.042,0.281,0.0,-0.0138,0.059000000000000004,0.0195,-0.0316,0.7071999999999999,,,0.523,
OBCI,0.062,9460000000.0,0.2108,145530000000.0,-0.0301,2900000000.0,-0.0353,5900000000.0,0.109,0.0658,0.7006,45800000000.0,0.24100000000000002,1.023,2.8341000000000003,0.14400000000000002,3.5412,0.185,3.5638,0.102,0.102,-0.3326,0.405,3.873,0.44,0.16399999999999998,2.3890000000000002,0.128,0.032,0.052000000000000005,-0.0242,0.93,-0.0092,,,,0.045,0.0053
