,previousClose,regularMarketOpen,twoHundredDayAverage,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,open,beta,regularMarketDayLow,priceToSalesTrailing12Months,dayLow,ask,fiftyTwoWeekHigh,forwardPE,fiftyTwoWeekLow,bid,dayHigh,enterpriseToRevenue,profitMargins,enterpriseToEbitda,52WeekChange,forwardEps,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,shortRatio,shortPercentOfFloat,regularMarketPrice,trailingAnnualDividendYield,payoutRatio,trailingAnnualDividendRate,dividendRate,trailingPE,fiveYearAvgDividendYield,dividendYield,pegRatio,Market Cap,Change,Insider Own,Shs Outstand,Perf Week,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,Inst Own,Short Float,Perf Quarter,Sales,EPS this Y,Inst Trans,Perf Half Y,ROA,Perf Year,ROE,Perf YTD,EPS past 5Y,ROI,52W High,Gross Margin,52W Low,Sales Q/Q,EPS Q/Q,Avg Volume,SMA20,SMA50,SMA200,Sales past 5Y,Oper. Margin,Profit Margin,EPS next 5Y,Dividend %,Payout
BMRA,5.86,5.92,7.013597,7.095,5.86,8.393529,5.92,-0.899665,5.5,12.099046,5.5,6.95,23.39,15.311111,2.05,6.85,7.095,11.078,-0.34949002,-32.609,1.0137458,0.45,1.208,0.056399997,0.07422,-0.23,0.16002727,5.7036424,0.18831,0.63,0.0688,5.92,,,,,,,,,68900000000.0,0.17579999999999998,0.012,11020000000.0,-0.06509999999999999,3.812,-0.07690000000000001,9620000000.0,-0.2232,-2300000000.0,0.155,0.0689,0.33270000000000005,6700000000.0,0.114,0.9231,1.2590000000000001,-0.23800000000000002,1.2443,-0.36200000000000004,1.2784,-0.39299999999999996,-0.17,-0.7054,0.266,2.3609999999999998,1.25,0.46299999999999997,,-0.1045,-0.18489999999999998,0.1938,0.062,-0.358,-0.349,,,
NCMI,3.59,3.78,3.5324461,4.85,3.59,3.1111765,3.78,1.17224,3.73,1.1219617,3.73,4.61,9.85,,1.62,4.55,4.85,4.409,0.03309,14.304,-0.5584256,0.04,-5.329,0.0809,0.96195,0.139,0.16002727,,0.03803,11.26,0.1257,3.78,0.13927577,4.2857,0.5,0.5,33.093525,10.14,0.1393,1.53,285800000000.0,0.2813,0.003,78000000000.0,0.2778,1.913,,76980000000.0,0.5861999999999999,10800000000.0,0.8590000000000001,0.0837,0.2332,326400000000.0,1.4509999999999998,-0.1711,-0.159,0.009000000000000001,-0.43829999999999997,-0.027000000000000003,-0.369,0.154,0.26,-0.5329999999999999,0.696,1.8395,-0.9640000000000001,-2.543,,0.40270000000000006,0.49450000000000005,-0.016,0.025,0.268,0.033,-0.0633,0.060899999999999996,4.26
PLM,2.69,3.2,3.3056116,6.38,2.69,4.334706,3.2,0.572674,3.01,,3.01,3.95,9.7,-146.66667,1.5,3.91,6.38,,,-32.097,-0.27297294,-0.03,3.72,0.0034,0.0110599995,-0.641,0.16002727,1.1827958,0.72121,0.26,0.0037,3.2,,,,,,,,-1.99,277200000000.0,0.6357,0.22,100640000000.0,0.37070000000000003,0.0,0.0,28470000000.0,-0.1127,-64599999999.99999,0.07400000000000001,0.012,0.5439,,-0.836,-0.1583,0.5439,-0.13699999999999998,0.1892,-0.165,0.7284999999999999,-0.267,,-0.5464,,1.9333,,-1.278,1340000000.0,0.1199,0.0305,0.3935,,,,0.2,,
RETO,0.585,0.702,0.80180573,1.14,0.585,0.8110588,0.702,2.035992,0.635,0.4497902,0.635,0.71,1.92,,0.3,0.7,1.14,0.954,-0.01942,11.973,-0.4481132,,2.115,,0.00225,-0.032,0.16002727,0.34515366,0.50436,0.04,,0.702,,,,,,,,,16610000000.0,0.24789999999999998,0.5044,22760000000.0,0.1595,,0.0,12820000000.0,-0.17980000000000002,,0.0023,0.0004,-0.2065,36940000000.0,,,0.0,,-0.3967,,-0.1685,,,-0.6198,,1.4333,-0.033,,,0.0027,-0.2208,-0.1489,,,,,,
SHLO,0.59,0.6988,1.4665468,0.9479,0.59,1.277647,0.6988,1.442586,0.6715,0.01892868,0.6715,0.6899,4.6,1.2031666,0.26,0.6801,0.9479,0.352,-0.08524,8.266,-0.8581731,0.6,4.148,0.021300001,0.40807998,-3.335,0.16002727,0.17403568,0.35472,0.48,0.0339,0.6988,,,,,,,,,14300000000.0,0.2236,0.027000000000000003,23790000000.0,-0.33770000000000006,,0.0216,15560000000.0,-0.4844,-78700000000.0,0.248,0.0332,-0.4692,923800000000.0,-3.64,-0.4105,-0.7112,-0.11699999999999999,-0.8295,-0.505,-0.7972,-0.223,-0.012,-0.848,0.07200000000000001,1.7765,-0.42200000000000004,,5240000000.0,-0.332,-0.48619999999999997,-0.6586,0.049,-0.062,-0.085,-0.062,,
ADMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47900000000.0,0.1816,0.017,73830000000.0,0.1795,0.6940000000000001,-0.1048,73020000000.0,-0.37799999999999995,-34200000000.000004,0.069,0.0795,0.1589,20000000000.0,0.449,-0.5992000000000001,0.6277,-0.737,0.0066,-1.032,0.0922,0.091,-0.769,-0.49340000000000006,0.17300000000000001,1.8333000000000002,-0.32799999999999996,0.062,6060000000.0,-0.105,-0.1042,0.19690000000000002,,,,,,
DPW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17100000000.000002,0.271,0.098,11470000000.0,0.1387,,0.0,9710000000.0,-0.2335,-28400000000.0,0.022000000000000002,0.0192,0.3873,24400000000.0,0.9490000000000001,0.12359999999999999,0.9034,-0.715,-0.2989,-3.966,0.6555,0.21600000000000003,-1.5619999999999998,-0.6992,0.259,2.717,0.08,0.9490000000000001,4540000000.0,-0.0101,-0.1285,0.2813,0.24100000000000002,-0.9329999999999999,,,,
LMPX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132800000000.00002,0.3169,0.40880000000000005,9930000000.0,0.423,,0.0,5860000000.0,1.3422,,0.027999999999999997,0.0206,0.3722,17110000000.0,0.727,0.1226,1.2354,,,,-0.01,,-0.222,-0.6418,,4.3841,0.5710000000000001,1.113,,0.542,0.8239,0.3457,,,,,,
VVPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122830000000.0,0.2815,0.8128,10580000000.0,0.4073,,0.0,2540000000.0,4.9538,,0.015,0.0118,8.0,66540000000.00001,,0.8737,11.4839,,7.8626,,10.0571,,,0.0943,,18.678,0.625,,2060000000.0,1.6005,3.0641000000000003,6.829,,,,,,
,previousClose,regularMarketOpen,twoHundredDayAverage,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,open,beta,regularMarketDayLow,priceToSalesTrailing12Months,dayLow,ask,fiftyTwoWeekHigh,forwardPE,fiftyTwoWeekLow,bid,dayHigh,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,forwardEps,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,shortRatio,shortPercentOfFloat,regularMarketPrice,trailingPE,profitMargins,pegRatio,trailingAnnualDividendYield,payoutRatio,trailingAnnualDividendRate,dividendRate,fiveYearAvgDividendYield,dividendYield,Market Cap,Change,Insider Own,Shs Outstand,Perf Week,EPS next Y,Shs Float,Perf Month,Income,Inst Own,Short Float,Perf Quarter,Sales,EPS this Y,Inst Trans,Perf Half Y,ROA,Perf Year,ROE,Perf YTD,EPS past 5Y,ROI,52W High,52W Low,Sales Q/Q,EPS Q/Q,SMA20,SMA50,SMA200,Insider Trans,Gross Margin,Oper. Margin,Profit Margin,Payout,Avg Volume,EPS next 5Y,Sales past 5Y,Dividend %
