ticker,52W Low_imputed,52WeekChange_imputed,Avg Volume_imputed,Change_imputed,EPS next 5Y_imputed,EPS next Y_imputed,EPS past 5Y_imputed,Insider Own_imputed,Insider Trans_imputed,Inst Trans_imputed,Perf Half Y_imputed,Perf Month_imputed,Perf Week_imputed,Perf YTD_imputed,ROI_imputed,SMA20_imputed,SMA200_imputed,SMA50_imputed,Sales Q/Q_imputed,SandP52WeekChange_imputed,ask_imputed,bid_imputed,dayHigh_imputed,dayLow_imputed,enterpriseToEbitda_imputed,enterpriseToRevenue_imputed,fiftyDayAverage_imputed,fiftyTwoWeekLow_imputed,forwardEps_imputed,forwardPE_imputed,open_imputed,pegRatio_imputed,priceToSalesTrailing12Months_imputed,regularMarketDayHigh_imputed,regularMarketDayLow_imputed,regularMarketOpen_imputed,shortRatio_imputed,trailingEps_imputed,twoHundredDayAverage_imputed,ATR_imputed,Beta_imputed,Cash/sh_imputed,Current Ratio_imputed,Debt/Eq_imputed,EPS next Q_imputed,Employees_imputed,Forward P/E_imputed,LT Debt/Eq_imputed,P/B_imputed,P/E_imputed,P/S_imputed,Quick Ratio_imputed,Recom_imputed,Rel Volume_imputed,Short Ratio_imputed
CRDF,7.6876,-0.16000003,1550000000.0,-0.1349,0.2,0.009000000000000001,-0.162,0.003,0.0,156400000000.0,2.5074,-0.1429,0.2353,-0.0885,-0.42100000000000004,-0.2218,0.1377,1.4875999999999998,0.0,0.16002727,0.44,1.03,14.8,4.21,-19.88,1.584,3.9562857,0.7,-0.06,-0.6744681,5.15,0.01,17.238573,14.8,4.21,5.15,0.08,-0.045,4.554236,0.17,1.57,0.89,5.8,0.01,-0.23,14.0,0.19,0.01,0.4,3.64,0.15,5.8,2.0,0.73,0.04
IPDN,1.135,-0.16000003,1190000000.0,-0.114,0.2,-0.36590000000000006,0.349,0.17600000000000002,0.0,156400000000.0,2.5074,-0.1349,-0.2231,-0.0885,-1.084,-0.0741,0.1377,1.4875999999999998,-0.231,0.11079204,1.11,1.01,1.25,0.9051,-19.88,1.584,3.9562857,0.76,-0.14,-0.6744681,1.08,-0.04,17.238573,1.25,0.9051,1.08,0.04,-0.585,4.554236,0.17,1.88,0.07,0.4,0.64,-0.1,38.0,0.19,0.45,11.1,3.64,3.25,0.4,2.0,0.77,0.04
JILL,1.135,-0.66256416,3600000000.0,-0.11539999999999999,0.2,0.532,-0.162,0.027000000000000003,0.0,-0.0703,0.1411,0.061399999999999996,0.4125,-0.41759999999999997,-0.4,-0.19519999999999998,-0.2288,1.4875999999999998,-0.484,0.16002727,0.44,0.56,0.6297,0.55,-29.89,0.933,0.52537143,0.31,-0.52,-1.1134616,0.62,0.01,17.238573,0.6297,0.55,0.62,4.93,-2.835,0.5728261,0.09,1.6,0.69,0.3,0.0,-0.06,1400.0,12.33,0.0,0.4,3.64,0.06,0.2,3.0,0.23,0.63
NNVC,1.135,-0.16000003,1550000000.0,-0.1191,0.2,0.0,-0.162,0.001,0.0,156400000000.0,2.5074,-0.1429,0.2353,-0.0885,-0.703,-0.038,0.1377,-0.3064,0.0,0.11079204,0.44,4.2,14.8,4.21,-19.88,1.584,3.9562857,0.38,-0.19,-0.6744681,5.14,0.01,17.238573,14.8,4.21,5.14,0.17,-0.045,4.554236,0.34,1.59,0.58,2.9,0.08,-0.1,8.0,12.33,0.0,0.4,3.64,0.19,2.9,2.0,0.4,0.04
OCGN,1.135,-0.9764452,34180000000.0,-0.10679999999999999,0.2,0.0,-0.162,0.001,0.0,156400000000.0,2.5074,-0.1429,-0.145,-0.0885,-0.42100000000000004,-0.1741,0.1377,-0.09720000000000001,0.0,0.16002727,0.44,0.8,0.75,4.21,-2.781,1.584,3.9562857,0.17,-0.23,-0.6744681,1.81,0.01,17.238573,0.75,4.21,1.81,0.09,-0.045,4.554236,0.03,2.6,0.11,3.3,0.42,-0.02,16.0,12.33,0.14,1.98,3.64,0.15,3.3,2.5,0.47,0.14
REPH,1.135,-0.16000003,1550000000.0,-0.1082,0.2,0.0,0.157,0.024,0.0,156400000000.0,2.5074,-0.4988,0.2353,-0.0885,-0.038,-0.0741,0.1377,1.4875999999999998,0.0,0.16002727,2.25,0.8,14.8,2.04,-19.88,1.584,3.9562857,0.25,-0.6,-0.6744681,2.4,0.01,0.6072551,14.8,2.04,2.4,1.94,-38.769,4.554236,0.16,1.59,0.0,4.5,0.0,-0.21,2.0,0.19,0.0,0.4,3.64,0.03,3.6,1.0,0.32,0.01
SYPR,1.135,-0.16000003,1550000000.0,-0.114,0.08,0.0,-0.162,0.008,0.0,-0.0779,2.5074,-0.1429,0.2353,-0.0885,-0.122,-0.0741,0.1377,1.4875999999999998,0.0,0.11079204,1.1,1.07,1.24,1.01,-19.88,0.417,3.9562857,0.54,-0.23,-0.6744681,1.08,-0.04,17.238573,1.24,1.01,1.08,0.11,-0.045,4.554236,0.12,1.5,0.37,1.6,1.11,-0.1,2.0,0.19,0.7,2.22,3.64,0.15,0.8,3.0,0.07,0.01
SYRS,1.3275,-0.16000003,1240000000.0,-0.114,0.2,0.0,-0.162,0.008,-0.4586,0.8737,0.6949,-0.1429,0.2353,-0.0885,-0.03,-0.0741,0.1377,1.4875999999999998,0.0,0.16002727,0.44,0.8,14.8,4.21,-19.88,1.584,3.9562857,0.25,-0.23,-0.6744681,5.15,0.01,17.238573,14.8,4.21,5.15,0.17,-0.045,4.554236,0.82,1.84,0.0,4.8,0.33,-0.38,83.0,0.19,0.32,2.57,3.64,0.16,4.8,2.1,0.28,9.92
XERS,1.135,-0.16000003,3680000000.0,-0.10220000000000001,0.2,0.33799999999999997,-0.162,0.025,0.0,156400000000.0,1.3093000000000001,-0.1085,0.2353,-0.0885,-0.42100000000000004,-0.2218,0.1377,1.4875999999999998,0.0,0.16002727,0.44,3.52,14.8,4.21,-1.543,1.584,3.9562857,1.42,-1.72,-0.6744681,5.15,0.01,17.238573,14.8,4.21,5.15,0.17,-0.045,4.554236,0.47,1.59,0.0,6.9,0.0,-0.1,7.0,12.33,0.0,0.4,3.64,0.15,6.7,1.6,0.65,0.52
CANF,1.135,-0.16000003,1620000000.0,-0.1056,0.2,-0.536,-0.162,0.002,0.0,156400000000.0,2.5074,-0.2682,0.2353,-0.5121,1.8419999999999999,-0.038,0.1377,-0.2627,-0.115,0.11079204,0.44,0.205,0.75,3.8,-19.88,1.584,3.9562857,1.5,0.52,-0.6744681,3.15,0.01,17.238573,0.75,3.8,3.15,0.04,-0.244,4.554236,0.11,1.59,0.0,0.1,0.0,-0.41,8.0,12.33,0.0,3.55,3.64,0.35,0.1,2.0,0.71,0.29
MTP,1.135,-0.16000003,6320000000.0,-0.1127,0.2,-0.536,0.337,0.059000000000000004,0.0,156400000000.0,2.5074,-0.1417,0.2353,-0.0885,1.8419999999999999,-0.1741,0.1377,-0.3011,0.159,0.11079204,0.44,1.71,0.75,4.21,-19.88,1.584,3.9562857,1.5,0.52,-0.6744681,5.15,0.01,17.238573,0.75,4.21,1.85,0.04,-0.244,4.554236,0.13,1.59,0.0,0.1,0.0,-0.41,9.0,12.33,0.0,3.55,3.64,13.18,0.1,2.0,0.71,0.02
SEEL,0.4279,-0.16000003,1100000000.0,-0.114,0.2,-0.36590000000000006,-0.162,0.001,0.0,-0.1005,2.5074,-0.1417,0.2353,-0.5529999999999999,-0.42100000000000004,-0.1741,0.1377,1.4875999999999998,-0.304,0.11079204,0.44,0.8,0.75,4.21,-19.88,1.584,3.9562857,0.25,-0.23,-0.6744681,5.15,0.01,17.238573,0.75,4.21,5.15,0.17,-0.045,4.554236,0.11,2.07,0.12,2.1,0.0,-0.08,6.0,12.33,0.0,0.4,3.64,0.03,2.1,2.0,0.48,0.17
ACB,0.4189,-0.88707536,3650000000.0,-0.11630000000000001,0.2,-0.536,-0.162,0.028999999999999998,0.0,156400000000.0,-0.3607,-0.26780000000000004,-0.2327,-0.7099,-0.42100000000000004,-0.2218,-0.5194,-0.3011,0.159,0.15022206,7.63,7.54,8.25,7.51,-19.88,0.905,10.142571,5.3,0.52,-0.6744681,8.18,0.01,0.3934893,8.25,7.51,8.18,5.53,0.216,11.355957,0.54,1.59,0.0,2.1,0.0,-0.1,2731.0,12.33,0.0,1.46,23.29,0.49,1.3,2.0,6.36,4.36
