ticker,52WeekChange_imputed,Avg Volume_imputed,Beta_imputed,Cash/sh_imputed,Current Ratio_imputed,Debt/Eq_imputed,EPS next 5Y_imputed,EPS next Q_imputed,EPS next Y_imputed,Employees_imputed,Forward P/E_imputed,Insider Own_imputed,Insider Trans_imputed,LT Debt/Eq_imputed,Market Cap_imputed,P/E_imputed,P/FCF_imputed,Perf Half Y_imputed,Perf Month_imputed,Perf Quarter_imputed,Quick Ratio_imputed,Recom_imputed,Sales Q/Q_imputed,SandP52WeekChange_imputed,Short Ratio_imputed,ask_imputed,dayHigh_imputed,enterpriseToEbitda_imputed,fiftyDayAverage_imputed,fiftyTwoWeekLow_imputed,forwardPE_imputed,open_imputed,pegRatio_imputed,previousClose_imputed,priceToSalesTrailing12Months_imputed,regularMarketDayHigh_imputed,regularMarketDayLow_imputed,regularMarketOpen_imputed,regularMarketPreviousClose_imputed,regularMarketPrice_imputed,shortRatio_imputed,twoHundredDayAverage_imputed
CODX,0.5463917,1550000000.0,1.59,0.71,11.6,0.0,0.15,0.63,0.42460000000000003,37.0,5.53,0.2421,-0.0129,0.0,27970000000.0,79.67,0.22,1.3781,1.7558,1.3784999999999998,8.2,2.0,454.449,0.16002727,2.12,8.4,11.08,38.437,18.279572,1.5,17.275,1.81,0.01,9.3,0.06942094,11.08,9.56,1.81,9.3,0.55,1.59,12.840109
CRDF,0.5463917,1550000000.0,1.57,0.89,5.8,0.01,0.2,-0.23,0.009000000000000001,14.0,15.7,0.003,0.0,0.01,27970000000.0,102.44,0.22,1.3781,1.7558,1.3784999999999998,5.8,2.0,0.0,0.16002727,0.01,0.5088,0.75,-7.099,0.7605343,0.7,17.275,1.81,0.01,7.04,0.06942094,0.75,2.66,1.81,7.04,0.55,0.08,12.840109
IPDN,0.5463917,2230000000.0,1.88,0.07,0.4,0.64,0.2,-0.1,0.0,38.0,149.8,0.17600000000000002,0.0,0.45,13800000000.0,102.44,0.22,1.3781,1.7558,-0.23579999999999998,0.4,2.0,-0.231,0.16002727,0.04,1.11,1.25,-4.081,0.7605343,0.76,17.275,1.08,-0.04,4.08,2.7844338,1.25,0.9051,1.08,4.08,1.08,0.04,1.1917267
JILL,-0.66256416,3600000000.0,1.6,0.69,0.3,0.0,0.2,-0.06,0.532,1400.0,12.33,0.027000000000000003,0.0,0.0,32710000000.0,3.64,0.22,0.1411,0.061399999999999996,-0.2324,0.2,3.0,-0.484,0.16002727,0.63,0.5893,0.6297,-29.89,0.54052943,0.31,17.275,0.62,0.01,0.6581,0.06942094,0.6297,0.55,0.62,0.6581,0.62,4.93,0.59530216
NNVC,0.5463917,1190000000.0,0.99,0.58,2.9,0.08,0.2,-0.1,0.0,8.0,12.33,0.001,0.0,0.0,27970000000.0,102.44,0.22,1.3781,1.7558,1.3784999999999998,2.9,2.0,0.0,0.16002727,0.04,1.7,2.25,-4.081,0.7605343,0.38,17.275,5.14,0.01,4.08,0.06942094,2.25,4.21,5.14,4.08,5.14,0.17,12.840109
OCGN,0.5463917,1190000000.0,2.6,0.11,3.3,0.42,0.2,-0.02,0.0,16.0,12.33,0.001,0.0,0.14,27970000000.0,102.44,0.22,1.3781,1.7558,1.3784999999999998,3.3,2.5,0.0,0.16002727,0.14,0.5088,0.75,-4.081,0.7605343,0.17,17.275,0.55,0.01,4.08,0.06942094,0.75,2.66,0.55,4.08,0.55,0.09,12.840109
REPH,0.5463917,1550000000.0,1.59,0.0,4.5,0.0,0.2,-0.21,0.0,2.0,12.33,0.024,0.0,0.0,27970000000.0,102.44,14.45,1.3781,1.7558,-0.6084,3.6,1.0,0.0,0.16002727,0.01,2.25,0.75,-4.081,0.7605343,0.25,17.275,2.4,0.01,2.27,0.06942094,0.75,2.04,2.4,2.27,2.4,1.94,12.840109
SYPR,0.5463917,2230000000.0,1.5,0.37,1.6,1.11,0.08,-0.1,0.0,2.0,15.7,0.008,0.0,0.7,26900000000.0,102.44,0.22,0.33770000000000006,1.7558,1.3784999999999998,0.8,3.0,0.0,0.11079204,0.01,1.1,1.24,-4.081,0.7605343,0.54,17.275,1.81,-0.04,2.27,0.06942094,1.24,1.01,1.81,2.27,0.55,0.11,0.8297122
SYRS,0.19004977,1190000000.0,1.84,0.0,4.8,0.33,0.2,-0.38,0.0,83.0,12.33,0.008,0.0,0.32,547309999999.99994,102.44,0.22,1.3781,1.7558,1.3784999999999998,4.8,2.1,0.0,0.16002727,0.01,1.7,0.75,-4.081,0.7605343,0.25,17.275,1.81,0.01,2.27,79.799,0.75,1.62,1.81,2.27,1.81,0.04,12.840109
XERS,0.5463917,3680000000.0,1.59,0.0,6.9,0.0,0.2,-0.52,0.0,28.0,12.33,0.025,0.0548,4.49,27970000000.0,102.44,0.22,1.3781,1.7558,1.3784999999999998,6.7,1.6,5.667000000000001,0.16002727,0.03,3.45,5.88,-4.081,3.6152942,1.42,17.275,1.81,0.01,4.99,0.06942094,5.88,3.5,1.81,4.99,0.55,0.08,3.2854676
