ticker,52W High,52W Low,Avg Volume,Change,EPS Q/Q,EPS next 5Y,EPS next Y,EPS past 5Y,EPS this Y,Gross Margin,Income,Insider Own,Insider Trans,Inst Own,Inst Trans,Market Cap,Oper. Margin,Payout,Perf Half Y,Perf Month,Perf Quarter,Perf Week,Perf YTD,Perf Year,Profit Margin,ROA,ROE,ROI,SMA20,SMA200,SMA50,Sales,Sales Q/Q,Sales past 5Y,Short Float,Shs Float,Shs Outstand,ask,beta,bid,bookValue,dayHigh,dayLow,enterpriseToEbitda,enterpriseToRevenue,fiftyDayAverage,fiftyTwoWeekHigh,fiftyTwoWeekLow,forwardEps,forwardPE,heldPercentInsiders,heldPercentInstitutions,open,pegRatio,previousClose,priceToBook,priceToSalesTrailing12Months,profitMargins,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketPrice,sharesPercentSharesOut,shortPercentOfFloat,shortRatio,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingEps,trailingPE,twoHundredDayAverage,ATR,Beta,Book/sh,Cash/sh,Current Ratio,Debt/Eq,Dividend,Dividend %,EPS (ttm),EPS next Q,Earnings,Employees,Forward P/E,Index,LT Debt/Eq,P/B,P/C,P/E,P/FCF,P/S,PEG,Prev Close,Price,Quick Ratio,RSI (14),Recom,Rel Volume,Short Ratio,Target Price,Volume
ACIW,-0.3348,0.3075,,0.062,1.49,0.12,0.7173,-0.005,0.19,0.509,76900000000.0,0.015,-0.0103,,-0.01,2990000000.0,0.125,0.0,0.1467,-0.1495,-0.0364,-0.1002,-0.30870000000000003,-0.201,0.057,0.024,0.071,0.047,-0.1,-0.1198,-0.07150000000000001,1350000000.0,0.008,0.044000000000000004,0.0462,113780000000.0,116030000000.0,26.75,1.309921,24.14,9.373,26.26,24.67,16.486,3.075,28.994705,39.37,20.03,0.97,,0.02783,1.00244,24.8,3.6,24.66,2.7941961,2.2642937,0.05716,26.26,24.67,24.8,24.66,24.8,0.0452,0.0525,7.32,,,0.649,40.354393,26.82826,1.07,1.32,9.4,1.13,1.5,1.21,,,0.65,0.16,,4018.0,30.45,,1.18,3.2,26.69,46.64,18.9,2.56,3.89,30.01,30.08,1.5,66.79,1.7,1.54,6.45,35.43,
ACMR,-0.3786,4.6563,,0.0663,0.536,0.2,0.7012,,1.69,0.467,18700000000.0,0.018000000000000002,-0.2865,0.377,0.5102,1170000000.0,0.14800000000000002,0.0,2.3679,-0.3246,0.2096,-0.1378,2.8352,3.8136,0.155,0.11,0.22699999999999998,0.165,-0.1996,0.40880000000000005,-0.2104,111400000000.0,0.183,,0.0989,11230000000.0,18060000000.0,72.99,0.769573,,4.98,72.74,65.555,59.414,9.92,92.97294,113.87,12.51,1.64,43.146343,0.36019,0.19108999,67.6,3.46,66.36,14.208836,10.532479,0.11817,72.74,65.555,67.6,66.36,67.6,0.0614,0.0892,3.29,,,0.71,99.66198,60.28355,5.56,,4.98,4.63,2.1,0.29,,,0.72,0.37,,361.0,46.01,,0.0,15.15,16.3,104.36,1173.25,11.6,5.22,70.79,75.45,1.6,49.26,2.1,0.82,2.67,126.33,
AIV,-0.32689999999999997,0.5279,1080000000.0,0.07150000000000001,-0.33799999999999997,0.071,-1.786,0.08199999999999999,-0.27399999999999997,0.6609999999999999,181200000000.0,0.0084,-0.0023,,0.0051,5680000000.0,0.158,1.311,0.0555,0.0348,-0.0424,0.0008,-0.2743,-0.2618,0.201,0.026000000000000002,0.105,0.025,0.0394,-0.11220000000000001,0.019799999999999998,903200000000.0,-0.024,-0.015,0.0148,147620000000.0,148540000000.0,,0.755852,35.24,11.406,37.845,35.45,19.759,11.727,36.528824,55.68,24.53,-0.11,-340.72726,0.00836,1.01943,35.47,35.19,34.98,3.2859898,6.171484,0.20072001,37.845,35.45,35.47,34.98,35.47,0.0147,0.0177,2.13,1.62,0.04631218,1.217,30.79704,37.557175,1.19,0.79,11.43,2.76,,2.88,1.64,0.0446,1.22,-0.01,,950.0,,,2.68,3.22,13.33,30.16,40.06,5.88,4.25,36.74,36.76,,55.19,2.7,0.7,2.04,40.7,
ALLO,-0.35729999999999995,1.0281,,0.0917,-0.27899999999999997,,-0.166,,-0.049,,-227200000000.0,0.032,-0.2459,0.642,0.1931,5000000000.0,,,0.9233,-0.051500000000000004,-0.1585,0.0702,0.3607,0.17679999999999998,,-0.27,-0.301,,0.009899999999999999,0.11109999999999999,-0.06849999999999999,,,,0.1559,68940000000.0,115380000000.0,35.37,,35.31,8.356,35.9,33.08,-15.675,,35.97147,,17.43,-2.53,-13.972332,0.38799998,0.57578,33.08,,32.38,4.230493,,,35.9,33.08,33.08,32.38,33.08,0.077199996,0.1294,17.81,,,-2.107,,34.512825,1.81,,10.08,6.29,22.2,0.0,,,-2.11,-0.54,,236.0,,,0.0,4.12,6.6,,,,,40.45,41.54,22.2,68.16,1.9,0.72,17.44,53.67,
AMCX,-0.5702,0.14679999999999999,1010000000.0,0.0786,-0.8740000000000001,-0.122,0.1286,0.13,-0.138,0.52,192000000000.0,0.003,0.0,,0.0174,1190000000.0,0.141,0.0,-0.1981,-0.096,-0.2334,-0.030600000000000002,-0.4304,-0.5575,0.067,0.035,0.3,0.139,-0.0555,-0.23629999999999998,-0.062400000000000004,2880000000.0,-0.163,0.071,0.2585,38470000000.0,52310000000.0,22.61,0.882385,22.6,12.527,22.78,20.95,4.347,1.27,23.885,51.31,19.62,6.42,3.5046728,0.04814,1.11361,21.01,-0.3,20.86,1.7961203,0.40594614,0.06655,22.78,20.95,21.01,20.86,21.01,0.1911,0.35349998,13.36,,,3.463,6.4972568,25.49768,0.98,0.89,12.46,16.95,2.4,4.48,,,3.42,1.21,,2114.0,3.68,,4.35,1.91,1.4,6.94,2.24,0.43,,24.0,23.75,2.4,48.09,3.1,1.86,9.35,25.95,
AMTI,-0.0229,0.8251999999999999,,0.1617,-2.076,0.387,0.21100000000000002,,0.061,,-46400000000.0,0.023,0.0,0.617,,1100000000.0,,,,0.3544,0.1446,0.2296,0.7303000000000001,,,,,,0.3139,0.3281,0.369,,,,0.0096,24510000000.0,32400000000.0,31.22,,,,34.34,27.4501,-16.837,,22.933823,34.34,17.045,,,,,27.58,-0.27,26.78,,,,34.34,27.4501,27.58,26.78,27.58,0.0068,0.014099999,1.03,,,,,23.423334,2.47,,5.1,4.76,24.1,0.0,,,-1.43,-0.41,,50.0,,,0.0,6.86,7.35,,,,,32.91,35.0,24.1,70.52,1.0,0.36,1.23,34.67,
APLS,-0.3157,0.8291,,0.0754,-0.397,0.027999999999999997,0.10099999999999999,,-1.089,,-470500000000.0,0.024,-0.0064,0.825,0.1099,2390000000.0,,,0.5288,0.0664,-0.054299999999999994,0.0095,0.006500000000000001,0.14150000000000001,,-0.779,-2.8310000000000004,,0.049800000000000004,-0.0382,0.0405,,,,0.1745,59040000000.0,75550000000.0,30.76,1.145083,30.68,3.07,30.87,28.69,-4.351,,28.615,45.04,16.85,-6.43,-4.793157,0.21841998,0.69478995,29.27,-1.47,28.66,10.039088,,,30.87,28.69,29.27,28.66,29.27,0.1363,0.20899999,16.67,,,-6.793,,30.578876,1.87,,3.07,10.68,14.7,0.0,,,-7.61,-1.57,,235.0,,,1.5,11.82,3.4,,,,,35.26,36.29,14.7,64.88,1.8,0.96,16.25,51.54,
ARCH,-0.5047,1.0317,,0.0877,-1.922,,1.984,0.20199999999999999,-0.10800000000000001,0.11599999999999999,23600000000.0,0.0115,0.012,,-0.0516,649730000000.0,0.016,1.085,0.264,0.34869999999999995,0.3185,0.09029999999999999,-0.3826,-0.45030000000000003,0.012,0.013000000000000001,0.038,0.255,0.2157,0.034,0.3543,1890000000.0,-0.44,-0.048,0.1332,14970000000.0,15150000000.0,44.99,1.10606,,36.164,44.78,41.115,5.356,0.416,34.497353,89.42,21.8,6.56,6.7515244,0.01148,1.25807,41.12,,40.72,1.2246985,0.35802168,0.0125899995,44.78,41.115,41.12,40.72,41.12,0.1317,0.1691,7.94,1.4,0.034381136,1.503,29.467731,32.714928,2.71,1.0,36.17,15.09,2.1,0.65,,,0.84,-1.22,,3700.0,6.31,,0.6,1.11,2.67,47.88,,0.31,,41.89,40.27,1.5,43.68,2.2,1.19,6.22,51.5,
ARCT,-0.3776,3.8449,,0.0681,-7.3,,1.2009999999999998,0.337,0.005,,-38500000000.0,0.22399999999999998,-0.0006,0.528,1.6265,1050000000.0,,,2.3767,-0.13849999999999998,0.07339999999999999,0.0776,2.793,2.886,,-0.39299999999999996,-0.894,,-0.1548,0.4079,-0.20190000000000002,11300000000.0,-0.775,,0.0819,18790000000.0,18790000000.0,42.34,3.100927,40.5,4.533,41.95,39.25,-20.856,73.402,51.065,66.24,8.51,0.43,95.88372,0.29925,0.30923998,39.25,,38.6,9.095522,89.348274,,41.95,39.25,39.25,38.6,39.25,0.0631,0.0796,2.34,,,-2.519,,37.236668,3.88,2.98,4.97,,6.2,0.16,,,-2.87,-0.48,,88.0,119.44,,0.16,10.29,,,,110.16,,51.62,51.12,6.2,61.74,1.8,0.53,2.94,67.5,
ARNA,-0.0506,1.0392000000000001,,0.0603,-0.301,,-0.07200000000000001,0.368,-1.98,,-346300000000.0,0.001,-0.8659,0.9390000000000001,0.19329999999999997,3870000000.0,,,0.8493999999999999,0.0285,0.0646,0.0327,0.4793,0.3118,,-0.28600000000000003,-0.311,0.332,0.0063,0.2482,0.0286,4600000000.0,,0.852,0.0669,57560000000.0,57650000000.0,,1.265328,,21.583,67.92,64.35,-7.019,550.887,65.31647,70.77,32.95,-8.08,-8.315595,0.00153,0.84158,64.35,0.42,63.37,3.1130984,839.4658,,67.92,64.35,64.35,63.37,64.35,0.0668,0.0669,8.17,,,-6.824,,56.624565,2.78,1.21,23.55,20.11,28.8,0.04,,,-6.83,-1.89,,320.0,,,0.04,3.51,4.11,,,1045.05,,80.0,82.57,28.8,79.9,1.6,1.35,6.72,86.85,
