ticker,52W High,52W Low,52WeekChange,Avg Volume,Change,EPS Q/Q,EPS next 5Y,EPS next Y,EPS past 5Y,EPS this Y,Gross Margin,Income,Insider Own,Insider Trans,Inst Own,Inst Trans,Market Cap,Perf Half Y,Perf Month,Perf Quarter,Perf Week,Perf YTD,Perf Year,ROA,ROE,ROI,SMA20,SMA200,SMA50,Sales,Sales Q/Q,Sales past 5Y,SandP52WeekChange,Short Float,Shs Float,Shs Outstand,ask,beta,bid,bookValue,dayHigh,dayLow,enterpriseToEbitda,enterpriseToRevenue,fiftyDayAverage,fiftyTwoWeekHigh,fiftyTwoWeekLow,forwardEps,forwardPE,heldPercentInsiders,heldPercentInstitutions,open,pegRatio,previousClose,priceToBook,priceToSalesTrailing12Months,profitMargins,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketPrice,sharesPercentSharesOut,shortPercentOfFloat,shortRatio,trailingEps,twoHundredDayAverage,ATR,Beta,Book/sh,Cash/sh,Current Ratio,Debt/Eq,Dividend,Dividend %,EPS (ttm),EPS next Q,Earnings,Employees,Forward P/E,Index,LT Debt/Eq,Oper. Margin,P/B,P/C,P/E,P/FCF,P/S,PEG,Payout,Prev Close,Price,Profit Margin,Quick Ratio,RSI (14),Recom,Rel Volume,Short Ratio,Target Price,Volume
BMRA,-0.7054,2.3609999999999998,1.0137458,,0.17579999999999998,0.46299999999999997,,3.812,-0.39299999999999996,0.114,0.266,-2300000000.0,0.012,-0.07690000000000001,0.155,0.9231,68900000000.0,1.2590000000000001,-0.2232,0.33270000000000005,-0.06509999999999999,1.2784,1.2443,-0.23800000000000002,-0.36200000000000004,-0.17,-0.1045,0.1938,-0.18489999999999998,6700000000.0,1.25,0.062,0.16002727,0.0689,9620000000.0,11020000000.0,6.95,-0.899665,6.85,1.208,7.095,5.5,-32.609,11.078,8.393529,23.39,2.05,0.45,15.311111,0.18831,0.07422,5.92,,5.86,5.7036424,12.099046,-0.34949002,7.095,5.5,5.92,5.86,5.92,0.056399997,0.0688,0.63,-0.23,7.013597,0.41,-0.83,1.29,0.77,10.0,0.0,,,-0.23,-0.06,,84.0,19.48,,0.0,-0.358,6.09,10.17,,,13.05,,,7.84,7.85,-0.349,8.1,57.3,2.0,0.18,1.5,12.0,
NCMI,-0.5329999999999999,1.8395,-0.5584256,,0.2813,-2.543,-0.0633,1.913,0.154,1.4509999999999998,0.696,10800000000.0,0.003,,0.8590000000000001,-0.1711,285800000000.0,-0.159,0.5861999999999999,0.2332,0.2778,-0.369,-0.43829999999999997,0.009000000000000001,-0.027000000000000003,0.26,0.40270000000000006,-0.016,0.49450000000000005,326400000000.0,-0.9640000000000001,0.025,0.16002727,0.0837,76980000000.0,78000000000.0,4.61,1.17224,4.55,-5.329,4.85,3.73,14.304,4.409,3.1111765,9.85,1.62,0.04,,0.03803,0.96195,3.78,1.53,3.59,,1.1219617,0.03309,4.85,3.73,3.78,3.59,3.78,0.0809,0.1257,11.26,0.139,3.5324461,0.25,1.29,-5.33,3.18,4.4,,0.5,0.1961,0.14,-0.15,,531.0,70.83,,,0.268,,0.8,18.48,1.5,0.61,,4.26,2.68,2.55,0.033,4.4,38.41,2.7,0.68,7.89,4.38,
PLM,-0.5464,1.9333,-0.27297294,1340000000.0,0.6357,-1.278,0.2,0.0,-0.267,-0.836,,-64599999999.99999,0.22,0.0,0.07400000000000001,-0.1583,277200000000.0,0.5439,-0.1127,0.5439,0.37070000000000003,0.7284999999999999,0.1892,-0.13699999999999998,-0.165,,0.1199,0.3935,0.0305,,,,0.16002727,0.012,28470000000.0,100640000000.0,3.95,0.572674,3.91,3.72,6.38,3.01,-32.097,,4.334706,9.7,1.5,-0.03,-146.66667,0.72121,0.0110599995,3.2,-1.99,2.69,1.1827958,,,6.38,3.01,3.2,2.69,3.2,0.0034,0.0037,0.26,-0.641,3.3056116,0.45,0.56,3.72,0.07,1.2,0.07,,,-0.64,-0.01,,21.0,,,0.07,,1.18,66.88,,,,,,4.3,4.4,,1.2,58.63,2.0,0.15,0.23,2.5,
RETO,-0.6198,1.4333,-0.4481132,,0.24789999999999998,,,,,,,,0.5044,0.0,0.0023,,16610000000.0,0.0,-0.17980000000000002,-0.2065,0.1595,-0.1685,-0.3967,,,,0.0027,-0.1489,-0.2208,36940000000.0,-0.033,,0.16002727,0.0004,12820000000.0,22760000000.0,0.71,2.035992,0.7,2.115,1.14,0.635,11.973,0.954,0.8110588,1.92,0.3,,,0.50436,0.00225,0.702,,0.585,0.34515366,0.4497902,-0.01942,1.14,0.635,0.702,0.585,0.702,,,0.04,-0.032,0.80180573,0.1,,2.12,,,,,,-0.03,,,235.0,,,,,0.27,,,,0.35,,,0.53,0.57,,,50.12,,6.45,0.04,,
ADMP,-0.49340000000000006,1.8333000000000002,,6060000000.0,0.1816,0.062,,0.6940000000000001,0.091,0.449,0.17300000000000001,-34200000000.000004,0.017,-0.1048,0.069,-0.5992000000000001,47900000000.0,0.6277,-0.37799999999999995,0.1589,0.1795,0.0922,0.0066,-0.737,-1.032,-0.769,-0.105,0.19690000000000002,-0.1042,20000000000.0,-0.32799999999999996,,,0.0795,73020000000.0,73830000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,2.11,0.31,0.08,1.0,0.23,,,-0.52,-0.05,,131.0,,,0.09,,3.18,11.81,,,4.67,,,0.89,0.98,,0.8,66.37,2.7,2.19,0.82,1.25,
DPW,-0.6992,2.717,,4540000000.0,0.271,0.9490000000000001,,,0.21600000000000003,0.9490000000000001,0.259,-28400000000.0,0.098,0.0,0.022000000000000002,0.12359999999999999,17100000000.000002,0.9034,-0.2335,0.3873,0.1387,0.6555,-0.2989,-0.715,-3.966,-1.5619999999999998,-0.0101,0.2813,-0.1285,24400000000.0,0.08,0.24100000000000002,,0.0192,9710000000.0,11470000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,3.61,0.52,0.24,0.4,4.07,,,-11.51,,,29.0,,,0.27,-0.9329999999999999,4.52,9.9,,,0.93,,,2.57,2.35,,0.3,55.94,,0.66,0.09,,
LMPX,-0.6418,4.3841,,,0.3169,1.113,,,,0.727,,,0.40880000000000005,0.0,0.027999999999999997,0.1226,132800000000.00002,1.2354,1.3422,0.3722,0.423,-0.01,,,,-0.222,0.542,0.3457,0.8239,17110000000.0,0.5710000000000001,,,0.0206,5860000000.0,9930000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,,3.24,2.78,8.4,0.19,,,-0.3,,,14.0,,,0.14,,10.83,12.64,,,19.65,,,30.6,35.09,,6.0,79.13,2.0,2.07,0.68,,
VVPR,0.0943,18.678,,2060000000.0,0.2815,,,,,,,,0.8128,0.0,0.015,0.8737,122830000000.0,11.4839,4.9538,8.0,0.4073,10.0571,7.8626,,,,1.6005,6.829,3.0641000000000003,66540000000.00001,0.625,,,0.0118,2540000000.0,10580000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,4.95,1.27,0.24,1.0,1.46,,,-0.36,,,204.0,,,1.39,-0.026000000000000002,12.82,68.26,,,3.92,,,10.09,16.28,-0.105,,72.77,,39.83,0.04,,
AQB,-0.19329999999999997,1.4199000000000002,-0.019672096,,0.2274,0.419,,0.314,0.154,0.17300000000000001,,-13100000000.0,0.01,,0.43200000000000005,0.0177,159310000000.0,0.8079000000000001,0.4622,0.4008,0.2877,0.6912,0.2832,-0.365,-0.445,-0.46399999999999997,0.31,0.5225,0.1341,60000000.0,-0.9309999999999999,,0.15022206,0.019799999999999998,20870000000.0,32100000000.0,3.66,1.013307,3.65,0.99,3.7,3.005,-7.851,1622.646,3.1205714,4.549,1.517,-0.24,-15.291667,0.14945,0.58662,3.005,,2.99,3.7070708,2930.7114,,3.7,3.005,3.005,2.99,3.005,0.0095999995,0.0147,0.89,-0.51,2.543145,0.42,0.67,0.99,,6.7,0.14,,,-0.52,-0.08,,64.0,,,0.14,,4.68,,,,3566.43,,,5.0,4.63,,5.5,57.84,1.7,1.33,0.52,4.5,
ARTL,-0.7968999999999999,0.4728,-0.6851064,,0.2141,-0.638,,0.006,,-3.361,,-4500000000.0,0.071,0.0,0.003,,4250000000.0,-0.1765,-0.2812,-0.349,-0.0642,-0.6673,-0.5971,-0.909,-1.031,,-0.1085,-0.4036,-0.2025,,,,0.15022206,0.020499999999999997,3350000000.0,3470000000.0,0.94,1.046382,0.9,0.864,0.97,0.68,-16.112,,1.0821714,4.423,0.61,-1.64,-0.55640244,0.14553,0.00235,0.7177,,0.74,1.0561342,,,0.97,0.68,0.7177,0.74,0.7177,0.0152,0.0178,0.13,-1.35,1.1546956,0.19,,0.93,0.28,5.4,0.0,,,-1.35,-0.36,,3.0,,,0.0,,0.93,3.08,,,,,,0.91,0.86,,5.4,45.88,3.0,2.29,0.17,,
