ticker,52W High,52W Low,52WeekChange,Avg Volume,Change,EPS Q/Q,EPS next 5Y,EPS next Y,EPS past 5Y,EPS this Y,Gross Margin,Income,Insider Own,Insider Trans,Inst Own,Inst Trans,Market Cap,Oper. Margin,Perf Half Y,Perf Month,Perf Quarter,Perf Week,Perf YTD,Perf Year,Profit Margin,ROA,ROE,ROI,SMA20,SMA200,SMA50,Sales,Sales Q/Q,Sales past 5Y,SandP52WeekChange,Short Float,Shs Float,Shs Outstand,ask,beta,bid,bookValue,dayHigh,dayLow,enterpriseToEbitda,enterpriseToRevenue,fiftyDayAverage,fiftyTwoWeekHigh,fiftyTwoWeekLow,forwardEps,forwardPE,heldPercentInsiders,heldPercentInstitutions,open,pegRatio,previousClose,priceToBook,priceToSalesTrailing12Months,profitMargins,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketPrice,sharesPercentSharesOut,shortPercentOfFloat,shortRatio,trailingEps,twoHundredDayAverage,ATR,Beta,Book/sh,Cash/sh,Current Ratio,Debt/Eq,Dividend,Dividend %,EPS (ttm),EPS next Q,Earnings,Employees,Forward P/E,Index,LT Debt/Eq,P/B,P/C,P/E,P/FCF,P/S,PEG,Payout,Prev Close,Price,Quick Ratio,RSI (14),Recom,Rel Volume,Short Ratio,Target Price,Volume
CODX,-0.7341,8.7365,7.7735853,3430000000.0,-0.114,6.487,,0.42460000000000003,-0.226,0.264,0.654,8100000000.0,0.2421,-0.0129,0.29100000000000004,0.9843999999999999,261209999999.99997,0.305,-0.1617,-0.6849,-0.485,-0.2785,8.204600000000001,6.5596000000000005,0.314,0.514,0.562,-3.467,-0.46340000000000003,-0.2522,-0.5579999999999999,25700000000.0,454.449,,0.16002727,0.2651,25080000000.0,27580000000.0,8.4,-1.670797,8.2,1.192,9.29,8.07,26.39,8.27,18.788677,30.99,0.846,2.61,3.1570883,0.24211,0.09172,9.12,,9.3,6.912751,9.454383,0.31422,9.29,8.07,9.12,9.3,9.12,0.2368,0.2368,1.59,0.351,15.167194,1.24,,1.21,0.71,11.6,0.0,,,0.18,0.63,,37.0,5.53,,0.0,11.92,20.23,79.67,,14.64,,0.0,14.41,14.42,8.2,49.55,2.0,0.18,2.12,,
CRDF,-0.26539999999999997,7.6876,2.7849462,,-0.1349,0.332,,0.009000000000000001,0.44799999999999995,0.662,,-19900000000.0,0.003,0.0,0.289,2.5341,163520000000.0,,4.075,0.0703,0.9837,-0.1966,3.9112999999999998,2.2394,,-1.188,-1.788,-2.285,-0.1067,1.3585,0.0821,300000000.0,0.11199999999999999,-0.027000000000000003,0.16002727,0.0417,16210000000.0,23230000000.0,6.24,1.718506,5.72,,7.4699,4.5,-7.099,452.932,6.045882,8.29,0.7,,,0.00191,0.11395001,7.1,,7.04,,555.60846,,7.4699,4.5,7.1,7.04,7.1,0.0291,0.0291,1.16,,3.0646043,1.59,1.57,1.68,0.89,5.8,0.01,,,-2.12,-0.23,,14.0,,,0.01,10.27,19.32,,,1790.55,,,17.3,17.25,5.8,79.81,2.0,0.73,0.47,18.5,
IPDN,-0.7637999999999999,0.2051,-0.23404253,1330000000.0,-0.1295,-1.125,,,0.349,0.852,0.813,-4099999999.9999995,0.17600000000000002,0.0,0.013999999999999999,1.4606999999999999,13800000000.0,-0.9079999999999999,-0.6194,-0.3935,-0.23579999999999998,-0.2231,0.033,-0.3139,,-0.728,-2.124,-1.084,-0.2052,-0.5289,-0.44079999999999997,4300000000.0,-0.231,-0.155,0.16002727,0.011200000000000002,5740000000.0,10930000000.0,0.94,1.304347,0.92,0.101,1.08,0.9051,-3.315,2.74,1.31,3.98,0.78,-0.14,-6.714286,0.62259996,0.02148,1.08,,1.07,9.306931,2.7844338,-1.2118801,1.08,0.9051,1.08,1.07,1.08,0.005,0.0106,0.04,-0.585,1.1917267,0.17,1.88,0.1,0.07,0.4,0.64,,,-0.45,,,38.0,,,0.45,11.1,15.53,,,3.25,,,1.16,1.11,0.4,52.02,,0.77,0.04,,
JILL,-0.7756000000000001,0.8676999999999999,-0.710177,3440000000.0,-0.11539999999999999,,,0.532,,-5.2589999999999995,0.598,-203200000000.0,0.027000000000000003,0.1233,0.691,-0.0691,29300000000.0,-0.185,-0.1607,0.061399999999999996,-0.21309999999999998,0.4125,-0.4876,-0.7269,-0.212,-0.195,-3.295,-0.4,0.2091,-0.2732,-0.0196,605900000000.0,-0.484,0.07400000000000001,0.16002727,0.1351,17340000000.0,44410000000.0,0.56,1.878372,0.56,-1.095,0.62,0.55,-88.113,0.94,0.54052943,2.58,0.31,-0.52,-1.1134616,0.07137,0.78285,0.6,0.01,0.6545,,0.048517533,-0.24133,0.62,0.55,0.6,0.6545,0.6,0.0523,0.1328,0.92,-2.824,0.59530216,0.09,1.6,-1.11,0.69,0.3,,,,-2.83,-0.06,,1400.0,,,,,0.96,,,0.06,,,0.62,0.66,0.2,60.9,3.0,0.23,0.63,,
NNVC,-0.7766,2.3745,0.10681808,1440000000.0,-0.1191,-1.085,,,0.151,0.111,,-13800000000.0,0.1497,0.0,0.235,0.2546,51910000000.0,,-0.5327000000000001,-0.3036,-0.345,0.0463,0.7092,-0.0263,,-1.033,-1.32,,-0.1398,-0.3007,-0.3064,,,,0.16002727,0.10769999999999999,6400000000.0,6520000000.0,4.3,0.653846,4.2,1.865,5.35,4.21,-4.454,,5.585588,19.2,1.27,-0.19,-22.578947,0.14968,0.19663,5.14,,4.87,2.3002682,,,5.35,4.21,5.14,4.87,5.14,0.0646,0.0722,0.97,-3.106,6.7389927,0.34,0.73,2.2,0.58,2.9,0.08,,,-2.72,,,17.0,,,0.0,1.85,7.09,,,,,,3.88,4.08,2.9,46.83,,0.4,0.73,,
OCGN,-0.9803000000000001,1.0118,-0.9764452,34180000000.0,-0.10679999999999999,0.88,,0.607,0.506,0.8959999999999999,,-30500000000.0,0.001,0.9845999999999999,0.07400000000000001,1.8783,51700000000.0,,-0.1335,-0.258,0.2025,-0.145,-0.3423,-0.9788,,-1.595,-6.147,,-0.2812,-0.1399,-0.1268,40000000.0,,,0.16002727,0.0499,121380000000.0,135009999999.99998,0.341,,0.3301,,0.373,0.3136,-2.781,881.356,0.47452942,17.399965,0.17,,,0.081520006,0.119770005,0.3711,,0.3829,,1083.3505,,0.373,0.3136,0.3711,0.3829,0.3711,0.0448,0.0466,0.09,,0.35379857,0.03,2.6,0.18,0.11,3.3,0.42,,,-3.5,-0.02,,16.0,,,0.14,1.98,3.15,,,1107.14,,,0.34,0.36,3.3,48.97,2.5,0.47,0.14,,
REPH,-0.8928,-0.07,-0.78153944,,-0.1082,-2.228,,0.381,0.157,1.053,0.34700000000000003,-4300000000.0,0.024,-0.1117,0.8190000000000001,0.023,54590000000.0,0.2,-0.7861,-0.4988,-0.6084,-0.237,-0.8876000000000001,-0.8087000000000001,-0.34299999999999997,-0.22399999999999998,2.031,0.228,-0.29960000000000003,-0.7842,-0.4549,80200000000.0,-0.505,,0.16002727,0.030699999999999998,23260000000.0,23580000000.0,2.05,0.520066,2.04,-0.652,2.36,2.04,8.776,1.782,3.4669118,19.21,2.04,-0.6,-3.4333332,0.013940001,0.78949,2.31,,2.31,,0.6072551,-0.34316003,2.36,2.04,2.31,2.31,2.31,0.030199999,0.0368,1.94,-1.191,6.3245325,0.16,0.78,-0.65,,4.5,,,,-0.18,-0.21,,215.0,,,,,,,14.45,0.65,,,2.34,2.3,3.6,50.33,1.0,0.32,1.96,,
SYPR,-0.5023,0.987,0.28571427,2080000000.0,-0.1508,-1.234,0.08,,-0.245,-0.10800000000000001,0.127,-3100000000.0,0.32899999999999996,0.0,0.065,-0.0779,26900000000.0,-0.028999999999999998,0.33770000000000006,-0.0183,0.4458,-0.10830000000000001,0.3716,0.09179999999999999,-0.037000000000000005,-0.052000000000000005,-0.247,-0.122,-0.1255,0.266,0.053399999999999996,83500000000.0,-0.295,-0.244,0.16002727,0.048,10850000000.0,21020000000.0,1.1,1.210144,1.07,0.547,1.24,1.06,-86.82,0.417,1.1382353,2.15,0.54,,,0.48336,0.08858,1.2,,1.26,1.9561244,0.27409416,-0.03677,1.24,1.06,1.2,1.26,1.2,0.024400001,0.0454,0.11,-0.15,0.8297122,0.12,1.5,0.55,0.37,1.6,1.11,,,-0.15,,,630.0,,,0.7,2.22,3.31,,,0.31,,,1.16,1.22,0.8,53.38,3.0,0.07,0.01,,
SYRS,-0.3251,1.3275,0.19004977,,-0.171,0.19399999999999998,,-0.038,-0.222,0.017,,-73900000000.0,0.008,-0.4586,0.889,0.0019,547309999999.99994,,0.6949,-0.17579999999999998,0.1041,-0.2248,0.4349,0.0317,,-0.49,-0.946,-0.972,-0.2441,0.1674,-0.1722,6600000000.0,5.4,,0.16002727,0.0673,40980000000.0,45700000000.0,10.23,1.701452,9.91,1.364,11.96,9.66,-5.477,59.126,12.236618,14.69,4.26,-1.68,-5.901786,0.09054,0.86765,11.96,,11.96,7.2690616,79.799,,11.96,9.66,11.96,11.96,11.96,0.060300004,0.1116,13.65,-1.69,9.337518,0.82,1.84,1.37,,4.8,0.33,,,-1.7,-0.38,,83.0,,,0.32,7.04,,,,72.96,,,9.59,9.65,4.8,48.84,2.1,0.93,9.92,,
XERS,-0.6355,2.1549,-0.5438757,3680000000.0,-0.10220000000000001,0.504,,0.33799999999999997,,-0.6659999999999999,0.218,-119200000000.0,0.025,0.0548,0.721,0.3043,230900000000.0,,1.3093000000000001,0.4,-0.1368,0.0541,-0.36450000000000005,-0.5856,,-0.9179999999999999,-4.353,-1.6769999999999998,0.09849999999999999,0.0181,0.3456,6000000000.0,5.667000000000001,,0.16002727,0.4057,37530000000.0,37970000000.0,4.53,2.435438,4.47,0.54,4.97,4.01,-1.543,28.839,3.6152942,12.29,1.42,-1.72,-2.6046512,0.025710002,0.58022,4.81,,4.99,8.296296,33.28224,,4.97,4.01,4.81,4.99,4.81,0.32900003,0.3334,4.15,-3.823,3.2854676,0.47,,0.64,2.94,6.9,0.0,,,-3.97,-0.52,,188.0,,,4.49,9.14,1.99,,,47.74,,,6.18,5.85,6.7,57.61,1.6,0.65,4.29,,
