,previousClose,regularMarketOpen,twoHundredDayAverage,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,open,beta,regularMarketDayLow,trailingPE,priceToSalesTrailing12Months,dayLow,ask,fiftyTwoWeekHigh,fiftyTwoWeekLow,bid,dayHigh,enterpriseToRevenue,profitMargins,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,priceToBook,heldPercentInsiders,shortRatio,earningsQuarterlyGrowth,shortPercentOfFloat,regularMarketPrice,forwardPE,enterpriseToEbitda,forwardEps,pegRatio,trailingAnnualDividendYield,trailingAnnualDividendRate,payoutRatio,dividendRate,fiveYearAvgDividendYield,dividendYield
FRHC,24.21,24.71,18.095642,24.75,24.21,22.331142,24.71,0.722965,24.36,35.568344,10.766986,24.36,24.72,24.75,11.25,24.65,24.75,8.356,0.30209,2.817,0.009,0.01059,0.695,8.775293,0.72846,2.39,1.904,0.033099998,24.71,,,,,,,,,,
FSLY,82.38,79.62,54.763786,84.72,82.38,86.685425,79.62,,79.46,,35.77705,79.46,84.49,117.79,10.63,83.2,84.72,31.039,-0.21389,5.162,0.0774,0.42012,-0.55,16.228205,0.115930006,0.61,,0.0999,79.62,2094.25,-208.146,0.04,-91.53,,,,,,
RDVT,18.92,19.19,18.337143,19.25,18.92,19.159714,19.19,0.478504,18.62,,6.8254395,18.62,19.17,28.698,11.575,18.82,19.25,6.478,-0.29293,3.765,0.106000006,0.20639999,-0.863,5.0278883,0.53051996,17.45,,0.1849,19.19,,-29.039,,,,,,,,
HMY,5.77,5.8,4.3359284,5.8,5.77,6.1165714,5.8,0.456283,5.5,,,5.5,5.59,7.61,1.76,5.6,5.8,,-0.043920003,3.746,0.0199,0.36028,-0.741,1.4762414,,0.8,,,5.8,11.285714,,0.49,,0.009012132,0.052,,,,
NKLA,33.83,34.08,41.893303,34.28,33.83,38.985714,34.08,,32.78,,29448.543,32.78,34.1,93.99,10.27,33.95,34.28,26097.9,,,0.0252,,,,,0.54,,,34.08,,-75.142,,,,,,,,
ATXI,11.16,11.35,9.969607,12.09,11.16,11.152286,11.35,0.195421,10.9,,,10.9,11.22,12.34,4.963,10.9,12.09,,,0.246,0.0089,0.10170999,-0.656,46.747967,0.61409,4.68,,0.060500003,11.35,76.666664,,0.15,,,,,,,
IDN,6.65,6.78,6.3007145,6.94,6.65,6.786857,6.78,2.163322,6.52,,12.290035,6.52,6.9,10.54,1.91,5.86,6.94,10.116,-0.122209996,1.224,0.0375,0.45896,-0.074,5.359477,0.09549,,,0.045500003,6.78,29.818182,-94.56,0.22,-33.25,,,,,,
MCRB,26.86,26.16,8.53925,26.24,26.86,21.518429,26.16,4.479375,24.26,,79.28661,24.26,25.7,,2.52,25.55,26.24,66.587,-2.62339,-0.873,0.0587,0.80148005,-1.065,,0.10002,0.75,,0.1012,26.16,-18.586956,-27.699,-1.38,0.21,,,,,,
INS,37.68,38.02,33.541786,38.11,37.68,35.803715,38.02,1.200668,36.35,32.609474,9.104383,36.35,36.95,49.9,23.26,37.33,38.11,8.372,0.28056,4.55,0.106000006,0.47276002,1.119,8.01978,0.29549,18.13,0.044,0.1546,38.02,19.306879,20.601,1.89,,,,,,,
CLCT,53.78,54.54,29.67,55.55,53.78,44.728287,54.54,1.685618,53.13,45.151257,6.4872723,53.13,53.81,55.58,13.26,53.67,55.55,5.353,0.13672,2.707,0.0496,0.70369005,1.19,19.848541,0.03571,4.16,-0.062,0.0509,54.54,,24.053,,,0.013015991,0.7,0.5882,0.7,5.59,0.012999999
SITM,71.33,72.03,40.51625,73.41,71.33,65.860855,72.03,,70.74,,12.578215,70.74,89.75,81.6,,72.07,73.41,10.46,-0.09297,0.378,0.0337,0.32999,-0.559,192.35449,0.75827,5.1,,0.0847,72.03,86.559525,2071.247,0.84,59.44,,,,,,
ICAD,10.65,10.8,10.319786,11.93,10.65,10.198,10.8,1.322742,10.725,,9.049154,10.725,10.5,15.31,5.91,11.57,11.93,6.706,-0.69879997,1.158,0.0469,0.28594,-1.011,10.017272,0.102290004,6.55,,0.0515,10.8,-55.2381,-20.787,-0.21,-1.51,,,,,,
CVM,12.73,,13.165,14.47,12.73,12.950571,,2.15942,12.53,,912.863,12.53,14.31,,,14.23,14.47,833.62,,0.494,0.24190001,0.21777001,-0.826,29.028341,0.04476,24.74,,0.2527,,-130.36363,-20.684,-0.11,,,,,,,
SAFE,58.02,58.33,54.562428,58.5518,58.02,54.40543,58.33,-0.397202,56.64,55.31977,22.333271,56.64,57.33,67.18,29.49,52.6,58.5518,33.594,0.35524,24.195,0.020399999,0.29694,1.032,2.3595784,0.67623,7.42,1.767,0.0551,58.33,40.489365,39.407,1.41,1.28,0.010858324,0.63,0.64309996,0.65,,0.0112
CXDO,7.9,7.84,6.424586,8.29,7.9,9.259458,7.84,2.142697,7.22,107.28572,7.47297,7.22,8.63,12.781,,7.9,8.29,8.671,0.07934,0.382,0.0015,0.00296,0.07,19.659687,0.72664,0.49,0.503,0.0053,7.84,53.64286,90.829,0.14,,,,,,,
HGBL,2.52,2.4902,1.7397857,2.52,2.52,3.0202856,2.4902,1.028428,2.465,19.153847,3.2589478,2.465,2.51,4.2,0.55,1.25,2.52,3.041,0.17159,0.48,0.0001,0.099659994,0.13,5.1875,0.35682,0.07,0.365,0.0002,2.4902,5.659091,26.805,0.44,,,,,,,
PRVB,14.82,15.04,12.010322,15.4283,14.82,12.789857,15.04,3.56269,14.8301,,,14.8301,15.36,18.5,4.72,,15.4283,,,2.913,0.0752,0.21765,-1.188,5.217988,0.25634,7.09,,0.083000004,15.04,-7.9166665,,-1.92,,,,,,,
DOCU,193.39,195.38,151.6895,195.7409,193.39,212.30429,195.38,0.856467,188.06,,31.007679,188.06,194.98,290.23,59.58,194.35,195.7409,31.509,-0.17735,2.711,0.0424,0.83857,-1.135,71.87754,0.0718,2.38,,0.050300002,195.38,209.52689,-275.591,0.93,10.87,,,,,,
INO,15.67,15.45,14.307428,18.4685,15.67,14.363714,15.45,1.090301,14.891,,1039.0497,14.891,16.93,33.79,1.92,16.85,18.4685,517.388,,1.173,0.3094,0.29409,-1.852,14.492754,0.026919998,3.3,,0.3158,15.45,28.333332,-13.286,0.6,,,,,,,
BCLI,14.62,14.77,9.462,15.21,14.62,13.1945715,14.77,1.07748,14.56,,,14.56,15.02,17.2,3.58,15.02,15.21,,,0.331,0.1233,0.08795,-1.154,45.589123,0.22337,8.2,,0.1348,14.77,-21.557144,-14.167,-0.7,,,,,,,
MTA,8.39,8.35,6.2027516,8.6603,8.39,8.797429,8.35,3.643895,8.275,,,8.275,8.35,10.108,,8.3,8.6603,,-1.8052901,,0.0067000003,0.09822,,,0.25263,0.5,,,8.35,,,,,,,,0.03,,0.0037
FLNG,5.8491,5.76,5.1665716,5.835,5.8491,5.758657,5.76,0.38253,5.63,38.4,2.0800781,5.63,6.12,11.8,3.4,5.39,5.835,6.751,0.01914,15.168,0.0069999998,0.19859,0.15,0.37974685,0.4586,17.15,,0.012999999,5.76,,9.38,,,0.017096648,0.1,,0.4,,0.0681
EIDX,49.86,50.44,45.595715,,49.86,43.19057,50.44,-0.350612,,,76.21426,,52.74,66.559,28.39,52.84,,62.605,-2.3874002,3.872,0.048800003,0.32455003,-1.696,13.620869,0.66331,32.84,,0.171,50.44,-16.9582,-26.963,-3.11,-0.64,,,,,,
HZNP,77.96,,50.654213,81.11,77.96,73.11343,,1.207357,78.14,31.357395,12.1157465,78.14,79.92,81.18,23.81,79.93,81.11,9.93,0.34091,11.832,0.0185,0.91659,2.549,6.7554092,0.01307,1.51,,0.0188,,18.459585,105.657,4.33,0.96,,,,,,
IMMU,85.34,85.7,33.368927,85.78,85.34,48.091713,85.7,3.409698,85.26,,970.63464,85.26,85.59,86.91,8.8,85.51,85.78,431.997,,2.569,0.1126,0.81313,-1.703,33.29311,0.00137,,,0.1261,85.7,-158.38889,-28.469,-0.54,-1.19,,,,,,
DQ,114.22,115.72,76.63357,116.559,114.22,116.323425,115.72,0.923634,111.31,26.300756,3.064754,111.31,113.27,137.03,35.73,111.02,116.559,3.55,0.120129995,42.719,0.020499999,0.51493,4.236,2.607973,0.12582,0.98,,,115.72,6.515205,11.544,17.1,0.37,,,,,,
